record,_id,isit,isr,isatl,find,category,class,pack,_Name,Name,id,Quality
records\xpack\item\equipmentarmor\greaves\mi_n_machaemelee.dbr,xtagMIArmor019,True,False,False,"All Machae, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_machaemelee_Greaves_xpack,Proioxis,Proioxis_2,
records\xpack2\item\equipmentweapons\1hranged\mi_n_machae.dbr,x2tagMIWeapon028,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_machae_Thrown_xpack2,Demonic Rippers,Demonic_Rippers_2,
records\xpack\item\equipmentarmor\armband\mi_n_melinoemage.dbr,xtagMIArmor008,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Armbands,ArmorProtective_Forearm,xpack,mi_n_melinoemage_Armbands_xpack,Bloodborn Armbands,Bloodborn_Armbands_0,
records\xpack\item\equipmentarmor\torso\mi_n_melinoemage.dbr,xtagMIArmor047,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Armor,ArmorProtective_UpperBody,xpack,mi_n_melinoemage_Armor_xpack,Bloodborn Girdle,Bloodborn_Girdle_1,
records\xpack\item\equipmentarmor\greaves\mi_n_melinoemage.dbr,xtagMIArmor020,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_melinoemage_Greaves_xpack,Bloodborn Leggings,Bloodborn_Leggings_0,
records\xpack\item\equipmentarmor\helm\mi_n_melinoemage.dbr,xtagMIArmor033,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Helm,ArmorProtective_Head,xpack,mi_n_melinoemage_Helm_xpack,Bloodborn Visor,Bloodborn_Visor_1,
records\xpack\item\equipmentweapons\sword\mi_n_melinoe.dbr,xtagMIWeapon014,True,False,False,"Blade Maiden, Blade Dancer; Hero: Anysia, @act04$",Sword,WeaponMelee_Sword,xpack,mi_n_melinoe_Sword_xpack,Khthonion Razor,Khthonion_Razor_2,
records\xpack\item\equipmentweapons\spear\mi_n_melinoe.dbr,xtagMIWeapon010,True,False,False,"Spear Runner, Elite Spear Runner; Hero: Hekaline, @act04$",Spear,WeaponHunting_Spear,xpack,mi_n_melinoe_Spear_xpack,Khthonion Spike,Khthonion_Spike_1,
records\xpack\item\equipmentarmor\helm\mi_n_troglodytemelee.dbr,xtagMIArmor034,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Helm,ArmorProtective_Head,xpack,mi_n_troglodytemelee_Helm_xpack,Atouk,Atouk_2,
records\xpack\item\equipmentweapons\club\mi_n_troglodyte.dbr,xtagMIWeapon007,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Mace,WeaponMelee_Mace,xpack,mi_n_troglodyte_Mace_xpack,Folg,Folg_2,
records\xpack\item\equipmentarmor\greaves\mi_n_troglodytemelee.dbr,xtagMIArmor021,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_troglodytemelee_Greaves_xpack,Gog,Gog_1,
records\xpack\item\equipmentarmor\armband\mi_n_troglodytemelee.dbr,xtagMIArmor009,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Armbands,ArmorProtective_Forearm,xpack,mi_n_troglodytemelee_Armbands_xpack,Lar,Lar_0,
records\xpack2\item\equipmentarmor\helm\mi_n_alfr.dbr,x2tagMIArmor018,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_alfr_Helm_xpack2,Helm of Alfheim,Helm_of_Alfheim_2,
records\xpack2\item\equipmentarmor\armband\mi_n_alfr.dbr,x2tagMIArmor019,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_alfr_Armbands_xpack2,Bracers of Alfheim,Bracers_of_Alfheim_2,
records\xpack2\item\equipmentarmor\torso\mi_n_alfr.dbr,x2tagMIArmor017,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_alfr_Armor_xpack2,Tunic of Alfheim,Tunic_of_Alfheim_2,
records\xpack2\item\equipmentarmor\greaves\mi_n_alfr.dbr,x2tagMIArmor020,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_alfr_Greaves_xpack2,Boots of Alfheim,Boots_of_Alfheim_1,
records\xpack2\item\equipmentweapons\bow\mi_n_alfr.dbr,x2tagMIWeapon022,True,True,False,,Bow,WeaponHunting_Bow,xpack2,mi_n_alfr_Bow_xpack2,Trueshot Bow,Trueshot_Bow_1,
records\xpack2\item\equipmentarmor\helm\mi_n_banditgreek.dbr,x2tagMIArmor033,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_banditgreek_Helm_xpack2,Scironian Helmet,Scironian_Helmet_2,
records\xpack2\item\equipmentarmor\torso\mi_n_banditgreek.dbr,x2tagMIArmor032,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_banditgreek_Armor_xpack2,Scironian Armor,Scironian_Armor_1,
records\xpack2\item\equipmentarmor\helm\mi_n_centaur.dbr,tagMIArmor035,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_centaur_Helm_xpack2,Outrider's Skullcap,Outriders_Skullcap_1,
records\xpack2\item\equipmentarmor\torso\mi_n_centaur.dbr,tagMIArmor053,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_centaur_Armor_xpack2,Outrider's Tunic,Outriders_Tunic_2,
records\xpack2\item\equipmentarmor\helm\mi_n_draugr.dbr,x2tagMIArmor044,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_draugr_Helm_xpack2,Helmet of the Restless King,Helmet_of_the_Restless_King_2,
records\xpack2\item\equipmentarmor\armband\mi_n_draugr.dbr,x2tagMIArmor045,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_draugr_Armbands_xpack2,Gauntlets of the Restless King,Gauntlets_of_the_Restless_King_2,
records\xpack2\item\equipmentarmor\torso\mi_n_draugr.dbr,x2tagMIArmor043,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_draugr_Armor_xpack2,Ring Mail of the Restless King,Ring_Mail_of_the_Restless_King_0,
records\xpack2\item\equipmentarmor\greaves\mi_n_draugr.dbr,x2tagMIArmor046,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_draugr_Greaves_xpack2,Guards of the Restless King,Guards_of_the_Restless_King_1,
records\xpack2\item\equipmentweapons\bow\mi_n_draugr.dbr,x2tagMIWeapon021,True,True,False,,Bow,WeaponHunting_Bow,xpack2,mi_n_draugr_Bow_xpack2,Bone Bow,Bone_Bow_1,
records\xpack2\item\equipmentweapons\shield\mi_n_draugr.dbr,x2tagMIWeapon020,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_draugr_Shield_xpack2,Shield of the Restless King,Shield_of_the_Restless_King_2,
records\xpack2\item\equipmentarmor\helm\mi_n_dvergrmelee.dbr,x2tagMIArmor014,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_dvergrmelee_Helm_xpack2,Master Forge Helmet,Master_Forge_Helmet_0,
records\xpack2\item\equipmentarmor\armband\mi_n_dvergrmelee.dbr,x2tagMIArmor015,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_dvergrmelee_Armbands_xpack2,Master Forge Armbands,Master_Forge_Armbands_1,
records\xpack2\item\equipmentarmor\torso\mi_n_dvergrmelee.dbr,x2tagMIArmor013,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_dvergrmelee_Armor_xpack2,Master Forge Cuirass,Master_Forge_Cuirass_2,
records\xpack2\item\equipmentarmor\torso\mi_n_dvergrmage.dbr,x2tagMIArmor013b,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_dvergrmage_Armor_xpack2,Master Seer Robe,Master_Seer_Robe_0,
records\xpack2\item\equipmentarmor\greaves\mi_n_dvergrmelee.dbr,x2tagMIArmor016,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_dvergrmelee_Greaves_xpack2,Master Forge Greaves,Master_Forge_Greaves_2,
records\xpack2\item\equipmentweapons\1hranged\mi_n_dvergr.dbr,x2tagMIWeapon029,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_dvergr_Thrown_xpack2,Dvergr Runestones,Dvergr_Runestones_0,
records\xpack2\item\equipmentweapons\axe\mi_n_dvergr.dbr,x2tagMIWeapon016,True,True,False,,Axe,WeaponMelee_Axe,xpack2,mi_n_dvergr_Axe_xpack2,Dvergr-Forged Battle Axe,Dvergr_Forged_Battle_Axe_1,
records\xpack2\item\equipmentweapons\club\mi_n_dvergr.dbr,x2tagMIWeapon014,True,True,False,,Mace,WeaponMelee_Mace,xpack2,mi_n_dvergr_Mace_xpack2,Dvergr-Forged Edge Mace,Dvergr_Forged_Edge_Mace_0,
records\xpack2\item\equipmentweapons\staff\mi_n_dvergr.dbr,x2tagMIWeapon017,True,True,False,,Staff,WeaponMagical_Staff,xpack2,mi_n_dvergr_Staff_xpack2,Prospector Rod,Prospector_Rod_0,
records\xpack2\item\equipmentweapons\sword\mi_n_dvergr.dbr,x2tagMIWeapon015,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_dvergr_Sword_xpack2,Dvergr-Forged Longsword,Dvergr_Forged_Longsword_0,
records\xpack2\item\equipmentarmor\helm\mi_n_einherjar.dbr,x2tagMIArmor052,True,True,False,,Helm,ArmorProtective_Head,xpack2,mi_n_einherjar_Helm_xpack2,Helm of Valhöll,Helm_of_Valhöll_1,
records\xpack2\item\equipmentarmor\torso\mi_n_einherjar.dbr,x2tagMIArmor051,True,True,False,,Armor,ArmorProtective_UpperBody,xpack2,mi_n_einherjar_Armor_xpack2,Harness of Valhöll,Harness_of_Valhöll_1,
records\xpack2\item\equipmentarmor\armband\mi_n_einherjar.dbr,x2tagMIArmor053,True,True,False,,Armbands,ArmorProtective_Forearm,xpack2,mi_n_einherjar_Armbands_xpack2,Armguards of Valhöll,Armguards_of_Valhöll_1,
records\xpack2\item\equipmentarmor\greaves\mi_n_einherjar.dbr,x2tagMIArmor054,True,True,False,,Greaves,ArmorProtective_LowerBody,xpack2,mi_n_einherjar_Greaves_xpack2,Buskins of Valhöll,Buskins_of_Valhöll_1,
records\xpack2\item\equipmentweapons\1hranged\mi_n_einherjar.dbr,x2tagMIWeapon030,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_einherjar_Thrown_xpack2,Einherjar Hammers,Einherjar_Hammers_1,
records\xpack2\item\equipmentweapons\shield\mi_n_einherjar.dbr,x2tagMIWeapon010,True,True,False,,Shield,WeaponArmor_Shield,xpack2,mi_n_einherjar_Shield_xpack2,Einherjar's Stand,Einherjars_Stand_2,
records\xpack2\item\equipmentweapons\spear\mi_n_einherjar.dbr,x2tagMIWeapon008,True,True,False,,Spear,WeaponHunting_Spear,xpack2,mi_n_einherjar_Spear_xpack2,Einherjar's Line,Einherjars_Line_1,
records\xpack2\item\equipmentweapons\sword\mi_n_einherjar.dbr,x2tagMIWeapon009,True,True,False,,Sword,WeaponMelee_Sword,xpack2,mi_n_einherjar_Sword_xpack2,Einherjar's Fate,Einherjars_Fate_2,
