id,dbr,isit,find
tagMIWeapon001,item\equipmentshield\mi_n_arachnos.dbr,false,"All Arachnos, @act01$"
tagMIArmor050,item\equipmentarmor\mi_n_arachnos.dbr,false,"All Arachnos, @act01$"
tagMIWeapon016,item\equipmentweapon\sword\mi_n_arachnos.dbr,false,"All Arachnos, @act01$"
tagMIArmor033,item\equipmenthelm\mi_n_arachnos.dbr,false,"All Arachnos, @act01$"
tagMIArmor001,item\equipmentarmband\mi_n_arachnos.dbr,false,"All Arachnos, @act01$"
tagMIArmor002,item\equipmentarmband\mi_n_bandari.dbr,false,"Bandari, Palace of Chang'an, @act03$"
tagMIArmor034,item\equipmenthelm\mi_n_bandari.dbr,false,"Bandari, Palace of Chang'an, @act03$"
tagMIArmor022,item\equipmentgreaves\mi_n_bandari.dbr,false,"Bandari, Palace of Chang'an, @act03$"
tagMIArmor051,item\equipmentarmor\mi_n_bandari.dbr,false,"Bandari, Palace of Chang'an, @act03$"
tagMIArmor052,item\equipmentarmor\mi_n_boarman.dbr,false,"All Boarmen, @act01$"
tagMIArmor081,item\equipmentarmband\mi_n_boarman.dbr,false,"All Boarmen, @act01$"
tagMIArmor035,item\equipmenthelm\mi_n_centaur.dbr,false,"Elder, Patriarch, @act01$"
tagMIWeapon002,item\equipmentshield\mi_n_centaur.dbr,false,"Elder, Patriarch, Marauder, Nessus, @act01$"
tagMIArmor053,item\equipmentarmor\mi_n_centaur.dbr,false,"All Centaurs, @act01$"
tagMIWeapon013,item\equipmentweapon\spear\mi_n_centaurtrapper.dbr,false,"Trapper; Heroes: Mulgor Flamespear, Sergos Longstride, @act01$"
tagMIWeapon010,item\equipmentweapon\club\mi_n_cyclops.dbr,false,"Polyphemus, Cyclops' Lair, @act01$"
tagMIArmor079,item\equipmenthelm\mi_n_deserthag.dbr,false,"All Desert Hags, @act02$"
tagMIArmor003,item\equipmentarmband\mi_n_djinn.dbr,false,"All Djinns, @act03$"
tagMIWeapon004,item\equipmentweapon\axe\mi_n_dragonian.dbr,false,"Headhunter, Ravager, @act03$"
tagMIArmor054,item\equipmentarmor\mi_n_dragonian.dbr,false,"All Dragonians except mages, @act03$"
tagMIWeapon008,item\equipmentweapon\bow\mi_n_duneraider.dbr,false,"All Pillagers, Iznu, @act02$"
tagMIArmor004,item\equipmentarmband\mi_n_duneraider.dbr,false,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$"
tagMIArmor055,item\equipmentarmor\mi_n_duneraider.dbr,false,"All Assassins; Heroes: Badru, Najja, Faceless One, @act02$"
tagMIArmor023,item\equipmentgreaves\mi_n_duneraider.dbr,false,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$"
tagMIArmor080,item\equipmentarmor\mi_n_duneraiderb.dbr,false,"All Pillagers, Iznu, @act02$"
tagMIArmor036,item\equipmenthelm\mi_n_goldenskeleton.dbr,false,"All Gilded Dead, Valley of Kings, @act02$"
tagMIArmor024,item\equipmentgreaves\mi_n_goldenskeleton.dbr,false,"All Gilded Dead, Valley of Kings, @act02$"
tagMIArmor005,item\equipmentarmband\mi_n_goldenskeleton.dbr,false,"All Gilded Dead, Valley of Kings, @act02$"
tagMIArmor056,item\equipmentarmor\mi_n_goldenskeleton.dbr,false,"All Gilded Dead, Valley of Kings, @act02$"
tagMIArmor037,item\equipmenthelm\mi_n_gorgon.dbr,false,"All Gorgons except Guards, Euryale, Medusa, Stheno, @act01$"
tagMIArmor006,item\equipmentarmband\mi_n_gorgonarcher.dbr,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
tagMIArmor038,item\equipmenthelm\mi_n_gorgonarcher.dbr,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
tagMIArmor057,item\equipmentarmor\mi_n_gorgonarcher.dbr,false,"Geomancer, Profaner; Heroes: Cenobia, Iolanthe; Euryale, Medusa, Stheno, @act01$"
tagMIArmor039,item\equipmenthelm\mi_n_gorgonmelee.dbr,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
tagMIArmor058,item\equipmentarmor\mi_n_gorgonmelee.dbr,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
tagMIArmor007,item\equipmentarmband\mi_n_gorgonmelee.dbr,false,"Guard, Archer, Slayer; Hero: Keleos, @act01$"
tagMIArmor059,item\equipmentarmor\mi_n_ichthianmage.dbr,false,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$"
tagMIArmor040,item\equipmenthelm\mi_n_ichthianmage.dbr,false,"All Bonecasters, all Shamans, Shaman's Apprentice, @act03$"
tagMIWeapon011,item\equipmentweapon\club\mi_n_ichthianmelee.dbr,false,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$"
tagMIArmor060,item\equipmentarmor\mi_n_ichthianmelee.dbr,false,"Myrmidon, Piscean Warrior, Lord of the Deep; Heroes: Cenon, Melchior, Mehrdad, @act03$"
tagMIWeapon014,item\equipmentweapon\spear\mi_n_ichthianmelee.dbr,false,"All Trappers, @act03$"
