,Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
0,Overlord's Iron Shell,Legendary,68.0,ArmorProtective_UpperBody,,TQ,u_l_overlord'sironshell.dbr,"b""records\\item\\equipmentarmoru_l_overlord'sironshell.dbr"""
1,Staff of the Covenant,Legendary,77.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffu_l_01.dbr'
2,Djinn's Shackles,MonsterInfrequent Normal,25.0,ArmorProtective_Forearm,,TQ,mi_n_djinn.dbr,b'records\\item\\equipmentarmbandmi_n_djinn.dbr'
3,Heartpierce,Epic,8.0,WeaponMelee_Sword,,TQ,u_n_heartpierce.dbr,b'records\\item\\equipmentweapon\\swordu_n_heartpierce.dbr'
4,Winds of Asphodel,Legendary,56.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_e_07.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_e_07.dbr'
5,Dvergr-Forged Edge Mace,MonsterInfrequent Normal,37.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_n_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubmi_n_dvergr.dbr'
6,Ring Mail of the Restless King,MonsterInfrequent Normal,36.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_draugr.dbr'
7,Lupine Bracelet,MonsterInfrequent Normal,15.0,ArmorProtective_Forearm,,TQ,mi_n_jackalmanmage.dbr,b'records\\item\\equipmentarmbandmi_n_jackalmanmage.dbr'
8,Aegis of Laconia,Epic,16.0,WeaponArmor_Shield,,TQ,u_n_aegisoflaconia.dbr,b'records\\item\\equipmentshieldu_n_aegisoflaconia.dbr'
9,Coil of Visions,Epic,33.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_n_002.dbr'
10,The Greg,Legendary,59.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldu_e_002.dbr'
11,Crown of the Dead,Epic,12.0,ArmorProtective_Head,Necromancer's Habiliment,TQ,usm_n_necromancer'shabiliment.dbr,"b""records\\item\\equipmenthelmusm_n_necromancer'shabiliment.dbr"""
12,Alexander's Plumed Helm,Legendary,71.0,ArmorProtective_Head,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmenthelmus_l_alexander'spanoply.dbr"""
13,Tunic of Alfheim,MonsterInfrequent Epic,60.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_alfr.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_alfr.dbr'
14,Essence of Shen-Nong's Dark Medicine,Common,,ItemRelic,,TQ,01_act3_shennongsdarkmedicine.dbr,b'records\\item\\relics01_act3_shennongsdarkmedicine.dbr'
15,Might of Hephaestus,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_da_mightofhephaestus.dbr,b'records\\xpack\\item\\artifactse_da_mightofhephaestus.dbr'
16,Troll Tusks,Common,,ItemCharm,,TQ Ragnarok,xpack2/01_act5_trolltusks.dbr,b'records\\xpack2\\item\\charms01_act5_trolltusks.dbr'
17,Witch Doctor's Vestment,MonsterInfrequent Legendary,68.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_anouranmage.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_anouranmage.dbr'
18,Fafnir's Teeth,Epic,28.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_10.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_10.dbr'
19,Master Seer Robe,MonsterInfrequent Normal,37.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_dvergrmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_dvergrmage.dbr'
20,Pristine Plumage,Common,,ItemCharm,,TQ,01_act1_pristineplumage.dbr,b'records\\item\\animalrelics01_act1_pristineplumage.dbr'
21,Death's Wings,Epic,22.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_07.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_07.dbr'
22,Plouton's Cornucopia,Legendary,75.0,ArmorProtective_UpperBody,Plouton's Vestments,TQ Immortal Throne,xpack/usm_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\torsousm_l_001.dbr'
23,Paean,Epic,12.0,ArmorJewelry_Amulet,,TQ,u_n_paean.dbr,b'records\\item\\equipmentamuletu_n_paean.dbr'
24,Key of Elysium,Legendary,59.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/u_e_003.dbr,b'records\\xpack\\item\\equipmentweapons\\axeu_e_003.dbr'
