Difficulty,Affix Type,Affix,"% Affix weight
(inside rand table)","% Affix drop chance
(all rand tables)","Table
DB Record","Randomizer
DB Record",dbr,pack,record
Epic,Prefix,Treacherous,0.45004500450045004,0.0214307145000214,xpack/staffb_e04.dbr,rare_oa%currentlife_01.dbr,rare_oa%currentlife_01.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_oa%currentlife_01.dbr
Epic,Prefix,Philosopher's,2.25022502250225,0.10715357250010699,xpack/staffb_e04.dbr,character_attributeenergy_05.dbr,character_attributeenergy_05.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_attributeenergy_05.dbr
Epic,Prefix,Murderous,0.675067506750675,0.0321460717500321,xpack/staffb_e04.dbr,rare_oa%currentlife_02.dbr,rare_oa%currentlife_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_oa%currentlife_02.dbr
Epic,Prefix,Rune Sage's ,1.8001800180018002,0.0857228580000857,xpack/staffb_e04.dbr,xpack2/character_skillmasteryrunes_02.dbr,character_skillmasteryrunes_02.dbr,xpack2,records\xpack2\item\lootmagicalaffixes\Prefix\default\character_skillmasteryrunes_02.dbr
Epic,Prefix,Molten,0.5850585058505849,0.0278599288500279,xpack/staffb_e04.dbr,rare_fireburn_02.dbr,rare_fireburn_02.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_fireburn_02.dbr
Epic,Prefix,Savant's,27.002700270027,1.28584287000129,xpack/staffb_e04.dbr,character_attributeenergy_04.dbr,character_attributeenergy_04.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_attributeenergy_04.dbr
Epic,Prefix,Volcanic,0.5850585058505849,0.0278599288500279,xpack/staffb_e04.dbr,rare_fireburn_03.dbr,rare_fireburn_03.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\rare_fireburn_03.dbr
Epic,Prefix,Shaman's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,character_skillmasteryg_01.dbr,character_skillmasteryg_01.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\character_skillmasteryg_01.dbr
Epic,Prefix,Dreamweaver's,1.71017101710171,0.0814367151000814,xpack/staffb_e04.dbr,xpack/character_skillmasterydream_01.dbr,character_skillmasterydream_01.dbr,xpack,records\xpack\item\lootmagicalaffixes\Prefix\default\character_skillmasterydream_01.dbr
Epic,Prefix,Nullifying,4.5004500450045,0.21430714500021397,xpack/staffb_e04.dbr,defensive_resistelemental_03.dbr,defensive_resistelemental_03.dbr,Original,records\item\lootmagicalaffixes\Prefix\default\defensive_resistelemental_03.dbr
