category,class,Original,xpack,xpack2,xpack3
Armor,ArmorProtective_UpperBody,records\item\equipmentarmor,records\xpack\item\equipmentarmor\torso,records\xpack2\item\equipmentarmor\torso,records\xpack3\item\equipmentarmor\torso
Staff,WeaponMagical_Staff,records\item\equipmentweapon\staff,records\xpack\item\equipmentweapons\staff,records\xpack2\item\equipmentweapons\staff,records\xpack3\item\equipmentweapons\staff
Armbands,ArmorProtective_Forearm,records\item\equipmentarmband,records\xpack\item\equipmentarmor\armband,records\xpack2\item\equipmentarmor\armband,records\xpack3\item\equipmentarmor\armband
Sword,WeaponMelee_Sword,records\item\equipmentweapon\sword,records\xpack\item\equipmentweapons\sword,records\xpack2\item\equipmentweapons\sword,records\xpack3\item\equipmentweapons\sword
Thrown,WeaponHunting_RangedOneHand,,,records\xpack2\item\equipmentweapons\1hranged,records\xpack3\item\equipmentweapons\1hranged
Mace,WeaponMelee_Mace,records\item\equipmentweapon\club,records\xpack\item\equipmentweapons\club,records\xpack2\item\equipmentweapons\club,records\xpack3\item\equipmentweapons\club
Shield,WeaponArmor_Shield,records\item\equipmentshield,records\xpack\item\equipmentweapons\shield,records\xpack2\item\equipmentweapons\shield,records\xpack3\item\equipmentweapons\shield
Helm,ArmorProtective_Head,records\item\equipmenthelm,records\xpack\item\equipmentarmor\helm,records\xpack2\item\equipmentarmor\helm,records\xpack3\item\equipmentarmor\helm
Relic,ItemRelic,records\item\relics,records\xpack\item\relics,records\xpack2\item\relics,records\xpack3\item\relics
Artifact,ItemArtifact,,records\xpack\item\artifacts,records\xpack2\item\artifacts,records\xpack3\item\artifacts
Charm,ItemCharm,records\item\animalrelics,records\xpack\item\charms,records\xpack2\item\charms,records\xpack3\item\charms
Amulet,ArmorJewelry_Amulet,records\item\equipmentamulet,records\xpack\item\equipmentarmor\amulet,records\xpack2\item\equipmentarmor\amulet,records\xpack3\item\equipmentarmor\amulet
Axe,WeaponMelee_Axe,records\item\equipmentweapon\axe,records\xpack\item\equipmentweapons\axe,records\xpack2\item\equipmentweapons\axe,records\xpack3\item\equipmentweapons\axe
Greaves,ArmorProtective_LowerBody,records\item\equipmentgreaves,records\xpack\item\equipmentarmor\greaves,records\xpack2\item\equipmentarmor\greaves,records\xpack3\item\equipmentarmor\greaves
Ring,ArmorJewelry_Ring,records\item\equipmentring,records\xpack\item\equipmentarmor\ring,records\xpack2\item\equipmentarmor\ring,records\xpack3\item\equipmentarmor\ring
Formula,ItemArtifactFormula,,records\xpack\item\artifacts\arcaneformulae,records\xpack2\item\artifacts\arcaneformulae,records\xpack3\item\artifacts\arcaneformulae
Bow,WeaponHunting_Bow,records\item\equipmentweapon\bow,records\xpack\item\equipmentweapons\bow,records\xpack2\item\equipmentweapons\bow,records\xpack3\item\equipmentweapons\bow
Spear,WeaponHunting_Spear,records\item\equipmentweapon\spear,records\xpack\item\equipmentweapons\spear,records\xpack2\item\equipmentweapons\spear,records\xpack3\item\equipmentweapons\spear
Parchment,ItemEquipment,,records\xpack\item\parchments,records\xpack2\item\parchments,records\xpack3\item\parchments
Equipments,All_Equipments,records\item\equipment,records\xpack\item\equipment,records\xpack2\item\equipment,records\xpack3\item\equipment
Items,All_Items,records\item,records\xpack\item,records\xpack2\item,records\xpack3\item
Weapons,All_Weapon,records\item\equipmentweapon,records\xpack\item\equipmentweapons,records\xpack2\item\equipmentweapons,records\xpack3\item\equipmentweapons
