,record,category,class,pack,name,altName,id
0,records\item\equipmentamulet\u_e_aeon.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_aeon,Aeon,Amulet_Aeon
1,records\item\equipmentamulet\u_e_amaranthine.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_amaranthine,Amaranthine,Amulet_Amaranthine
2,records\xpack2\item\equipmentarmor\amulet\u_n_004.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_n_004,Amber Necklace,Amulet_Amber_Necklace
3,records\item\equipmentamulet\u_e_amuletofhygeia.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_amuletofhygeia,Amulet of Hygeia,Amulet_Amulet_Of_Hygeia
4,records\xpack\item\equipmentarmor\amulet\u_l_003.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_l_003,Amulet of Morpheus,Amulet_Amulet_Of_Morpheus
5,records\xpack4\item\equipmentarmor\amulet\u_l_amuletofmaat.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_amuletofmaat,,Amulet_Amuletofmaat
6,records\item\equipmentamulet\u_l_aphroditesfavor.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_aphroditesfavor,Aphrodite's Favor,Amulet_Aphrodites_Favor
7,records\xpack4\item\equipmentarmor\amulet\u_l_baidiessence.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_baidiessence,,Amulet_Baidiessence
8,records\xpack3\items\equipmentarmor\amulet\u_e_set03.dbr,Amulet,ArmorJewelry_Amulet,xpack3,u_e_set03,Bandit King's Treasure,Amulet_Bandit_Kings_Treasure
9,records\item\equipmentamulet\u_l_blackpearlpendant.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_blackpearlpendant,Black Pearl Pendant,Amulet_Black_Pearl_Pendant
10,records\item\equipmentamulet\u_e_blessingofthegods.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_blessingofthegods,Blessing of the Gods,Amulet_Blessing_Of_The_Gods
11,records\xpack2\item\equipmentarmor\amulet\usm_l_freyja.dbr,Amulet,ArmorJewelry_Amulet,xpack2,usm_l_freyja,Brisingamen,Amulet_Brisingamen
12,records\xpack4\item\equipmentarmor\amulet\u_l_broachofhatshepsut.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_broachofhatshepsut,,Amulet_Broachofhatshepsut
13,records\xpack\item\equipmentarmor\amulet\u_l_002.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_l_002,Bronze Heart of Talos,Amulet_Bronze_Heart_Of_Talos
14,records\xpack\item\equipmentarmor\amulet\u_l_001.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_l_001,Cerberus' Collar,Amulet_Cerberus_Collar
15,records\xpack4\item\equipmentarmor\amulet\u_l_chidiessence.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_chidiessence,,Amulet_Chidiessence
16,records\xpack4\item\equipmentarmor\amulet\u_l_chiyoupendant.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_chiyoupendant,,Amulet_Chiyoupendant
17,records\xpack\item\equipmentarmor\amulet\u_e_003.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_e_003,Crimson Gem of Cytorius,Amulet_Crimson_Gem_Of_Cytorius
18,records\item\equipmentamulet\u_e_crystaltotem.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_crystaltotem,Crystal Totem,Amulet_Crystal_Totem
19,records\xpack4\item\equipmentarmor\amulet\u_l_dragonflameamulet.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_dragonflameamulet,,Amulet_Dragonflameamulet
20,records\xpack2\item\equipmentarmor\amulet\u_n_001.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_n_001,Dwarven Bone Fetish,Amulet_Dwarven_Bone_Fetish
21,records\item\equipmentamulet\u_n_electrumcharm.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_electrumcharm,Electrum Charm,Amulet_Electrum_Charm
22,records\item\equipmentamulet\u_l_essenceofstyx.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_essenceofstyx,Essence of Styx,Amulet_Essence_Of_Styx
23,records\item\equipmentamulet\u_e_eyeofflame.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_eyeofflame,Eye of Flame,Amulet_Eye_Of_Flame
24,records\xpack4\item\equipmentarmor\amulet\u_l_fangsueknot.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_fangsueknot,,Amulet_Fangsueknot
25,records\xpack4\item\equipmentarmor\amulet\u_l_firstemperorsresolve.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_firstemperorsresolve,,Amulet_Firstemperorsresolve
26,records\item\equipmentamulet\u_n_frostmoon.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_frostmoon,Frostmoon,Amulet_Frostmoon
27,records\item\equipmentamulet\u_e_frostshieldtalisman.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_frostshieldtalisman,Frostshield Talisman,Amulet_Frostshield_Talisman
28,records\xpack2\item\equipmentarmor\amulet\u_e_004.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_e_004,Grand Chieftain's Torc,Amulet_Grand_Chieftains_Torc
29,records\item\equipmentamulet\u_n_jadetotem.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_jadetotem,Jade Totem,Amulet_Jade_Totem
30,records\xpack4\item\equipmentarmor\amulet\u_l_kwanyussong.dbr,Amulet,ArmorJewelry_Amulet,xpack4,u_l_kwanyussong,,Amulet_Kwanyussong
31,records\item\equipmentamulet\u_n_ladyy-ab'sscarab.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_ladyy-ab'sscarab,Lady Y-ab's Scarab,Amulet_Lady_Y_abs_Scarab
32,records\item\equipmentamulet\u_e_lodestone.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_lodestone,Lode Stone,Amulet_Lode_Stone
33,records\item\equipmentamulet\u_n_lotusblossom.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_lotusblossom,Lotus Blossom,Amulet_Lotus_Blossom
34,records\item\equipmentamulet\u_n_moonclaw.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_moonclaw,Moonclaw,Amulet_Moonclaw
35,records\item\equipmentamulet\u_l_myrmidon'spendant.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_myrmidon'spendant,Myrmidon's Pendant,Amulet_Myrmidons_Pendant
36,records\xpack2\item\equipmentarmor\amulet\u_e_001.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_e_001,Necklace of Glauberg,Amulet_Necklace_Of_Glauberg
37,records\item\equipmentamulet\u_l_necklaceofharmonia.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_necklaceofharmonia,Necklace of Harmonia,Amulet_Necklace_Of_Harmonia
38,records\xpack\item\equipmentarmor\amulet\u_n_001.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_n_001,Obolus,Amulet_Obolus
39,records\xpack\item\equipmentarmor\amulet\u_n_002.dbr,Amulet,ArmorJewelry_Amulet,xpack,u_n_002,Orb of the Fallen,Amulet_Orb_Of_The_Fallen
40,records\item\equipmentamulet\u_n_paean.dbr,Amulet,ArmorJewelry_Amulet,Original,u_n_paean,Paean,Amulet_Paean
41,records\item\equipmentamulet\u_l_pendantofimmortalrage.dbr,Amulet,ArmorJewelry_Amulet,Original,u_l_pendantofimmortalrage,Pendant of Immortal Rage,Amulet_Pendant_Of_Immortal_Rage
42,records\xpack2\item\equipmentarmor\amulet\u_e_003.dbr,Amulet,ArmorJewelry_Amulet,xpack2,u_e_003,Pendant of Skadi,Amulet_Pendant_Of_Skadi
43,records\item\equipmentamulet\u_e_polaris.dbr,Amulet,ArmorJewelry_Amulet,Original,u_e_polaris,Polaris,Amulet_Polaris
