id,dbr,isit,find,category,record
tagMIWeapon001,item\equipmentshield\mi_n_arachnos.dbr,False,"All Arachnos, @act01$",shield,b'records\\item\\equipmentshield\\mi_n_arachnos.dbr'
tagMIArmor050,item\equipmentarmor\mi_n_arachnos.dbr,False,"All Arachnos, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_arachnos.dbr'
tagMIWeapon016,item\equipmentweapon\sword\mi_n_arachnos.dbr,False,"All Arachnos, @act01$",sword,b'records\\item\\equipmentweapon\\sword\\mi_n_arachnos.dbr'
tagMIArmor033,item\equipmenthelm\mi_n_arachnos.dbr,False,"All Arachnos, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_arachnos.dbr'
tagMIArmor001,item\equipmentarmband\mi_n_arachnos.dbr,False,"All Arachnos, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_arachnos.dbr'
tagMIArmor002,item\equipmentarmband\mi_n_bandari.dbr,False,"Bandari, Palace of Chang'an, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_bandari.dbr'
tagMIArmor034,item\equipmenthelm\mi_n_bandari.dbr,False,"Bandari, Palace of Chang'an, @act03$",helm,b'records\\item\\equipmenthelm\\mi_n_bandari.dbr'
tagMIArmor022,item\equipmentgreaves\mi_n_bandari.dbr,False,"Bandari, Palace of Chang'an, @act03$",greaves,b'records\\item\\equipmentgreaves\\mi_n_bandari.dbr'
tagMIArmor051,item\equipmentarmor\mi_n_bandari.dbr,False,"Bandari, Palace of Chang'an, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_bandari.dbr'
tagMIArmor052,item\equipmentarmor\mi_n_boarman.dbr,False,"All Boarmen, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_boarman.dbr'
tagMIArmor081,item\equipmentarmband\mi_n_boarman.dbr,False,"All Boarmen, @act01$",armband,b'records\\item\\equipmentarmband\\mi_n_boarman.dbr'
tagMIArmor035,item\equipmenthelm\mi_n_centaur.dbr,False,"Elder, Patriarch, @act01$",helm,b'records\\item\\equipmenthelm\\mi_n_centaur.dbr'
tagMIWeapon002,item\equipmentshield\mi_n_centaur.dbr,False,"Elder, Patriarch, Marauder, Nessus, @act01$",shield,b'records\\item\\equipmentshield\\mi_n_centaur.dbr'
tagMIArmor053,item\equipmentarmor\mi_n_centaur.dbr,False,"All Centaurs, @act01$",armor,b'records\\item\\equipmentarmor\\mi_n_centaur.dbr'
tagMIWeapon013,item\equipmentweapon\spear\mi_n_centaurtrapper.dbr,False,"Trapper; Heroes: Mulgor Flamespear, Sergos Longstride, @act01$",spear,b'records\\item\\equipmentweapon\\spear\\mi_n_centaurtrapper.dbr'
tagMIWeapon010,item\equipmentweapon\club\mi_n_cyclops.dbr,False,"Polyphemus, Cyclops' Lair, @act01$",club,b'records\\item\\equipmentweapon\\club\\mi_n_cyclops.dbr'
tagMIArmor079,item\equipmenthelm\mi_n_deserthag.dbr,False,"All Desert Hags, @act02$",helm,b'records\\item\\equipmenthelm\\mi_n_deserthag.dbr'
tagMIArmor003,item\equipmentarmband\mi_n_djinn.dbr,False,"All Djinns, @act03$",armband,b'records\\item\\equipmentarmband\\mi_n_djinn.dbr'
tagMIWeapon004,item\equipmentweapon\axe\mi_n_dragonian.dbr,False,"Headhunter, Ravager, @act03$",axe,b'records\\item\\equipmentweapon\\axe\\mi_n_dragonian.dbr'
tagMIArmor054,item\equipmentarmor\mi_n_dragonian.dbr,False,"All Dragonians except mages, @act03$",armor,b'records\\item\\equipmentarmor\\mi_n_dragonian.dbr'
tagMIWeapon008,item\equipmentweapon\bow\mi_n_duneraider.dbr,False,"All Pillagers, Iznu, @act02$",bow,b'records\\item\\equipmentweapon\\bow\\mi_n_duneraider.dbr'
tagMIArmor004,item\equipmentarmband\mi_n_duneraider.dbr,False,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$",armband,b'records\\item\\equipmentarmband\\mi_n_duneraider.dbr'
