Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
Overlord's Iron Shell,Legendary,68.0,ArmorProtective_UpperBody,,TQ,u_l_overlord'sironshell.dbr,"b""records\\item\\equipmentarmoru_l_overlord'sironshell.dbr"""
Staff of the Covenant,Legendary,77.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffu_l_01.dbr'
Djinn's Shackles,MonsterInfrequent Normal,25.0,ArmorProtective_Forearm,,TQ,mi_n_djinn.dbr,b'records\\item\\equipmentarmbandmi_n_djinn.dbr'
Heartpierce,Epic,8.0,WeaponMelee_Sword,,TQ,u_n_heartpierce.dbr,b'records\\item\\equipmentweapon\\swordu_n_heartpierce.dbr'
Winds of Asphodel,Legendary,56.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_e_07.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_e_07.dbr'
Dvergr-Forged Edge Mace,MonsterInfrequent Normal,37.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_n_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\clubmi_n_dvergr.dbr'
Ring Mail of the Restless King,MonsterInfrequent Normal,36.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_draugr.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_draugr.dbr'
Lupine Bracelet,MonsterInfrequent Normal,15.0,ArmorProtective_Forearm,,TQ,mi_n_jackalmanmage.dbr,b'records\\item\\equipmentarmbandmi_n_jackalmanmage.dbr'
Aegis of Laconia,Epic,16.0,WeaponArmor_Shield,,TQ,u_n_aegisoflaconia.dbr,b'records\\item\\equipmentshieldu_n_aegisoflaconia.dbr'
Coil of Visions,Epic,33.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_n_002.dbr'
The Greg,Legendary,59.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_e_002.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldu_e_002.dbr'
Crown of the Dead,Epic,12.0,ArmorProtective_Head,Necromancer's Habiliment,TQ,usm_n_necromancer'shabiliment.dbr,"b""records\\item\\equipmenthelmusm_n_necromancer'shabiliment.dbr"""
Alexander's Plumed Helm,Legendary,71.0,ArmorProtective_Head,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmenthelmus_l_alexander'spanoply.dbr"""
Tunic of Alfheim,MonsterInfrequent Epic,60.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_alfr.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_alfr.dbr'
Essence of Shen-Nong's Dark Medicine,Common,,ItemRelic,,TQ,01_act3_shennongsdarkmedicine.dbr,b'records\\item\\relics01_act3_shennongsdarkmedicine.dbr'
