Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record,dbr,pack,id
Overlord's Iron Shell,Legendary,68.0,ArmorProtective_UpperBody,,TQ,u_l_overlord'sironshell.dbr,records\item\equipmentarmor\u_l_overlord'sironshell.dbr,u_l_overlord'sironshell.dbr,Original,Overlords_Iron_Shell_0
Staff of the Covenant,Legendary,77.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/u_l_01.dbr,records\xpack2\item\equipmentweapons\staff\u_l_01.dbr,u_l_01.dbr,xpack2,Staff_of_the_Covenant_0
Djinn's Shackles,MonsterInfrequent Normal,25.0,ArmorProtective_Forearm,,TQ,mi_n_djinn.dbr,records\item\equipmentarmband\mi_n_djinn.dbr,mi_n_djinn.dbr,Original,Djinns_Shackles_0
Heartpierce,Epic,8.0,WeaponMelee_Sword,,TQ,u_n_heartpierce.dbr,records\item\equipmentweapon\sword\u_n_heartpierce.dbr,u_n_heartpierce.dbr,Original,Heartpierce_0
Winds of Asphodel,Legendary,56.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_e_07.dbr,records\xpack2\item\equipmentweapons\1hranged\u_e_07.dbr,u_e_07.dbr,xpack2,Winds_of_Asphodel_0
Dvergr-Forged Edge Mace,MonsterInfrequent Normal,37.0,WeaponMelee_Mace,,TQ Ragnarok,xpack2/mi_n_dvergr.dbr,records\xpack2\item\equipmentweapons\club\mi_n_dvergr.dbr,mi_n_dvergr.dbr,xpack2,Dvergr_Forged_Edge_Mace_0
Ring Mail of the Restless King,MonsterInfrequent Normal,36.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_draugr.dbr,records\xpack2\item\equipmentarmor\torso\mi_n_draugr.dbr,mi_n_draugr.dbr,xpack2,Ring_Mail_of_the_Restless_King_0
Lupine Bracelet,MonsterInfrequent Normal,15.0,ArmorProtective_Forearm,,TQ,mi_n_jackalmanmage.dbr,records\item\equipmentarmband\mi_n_jackalmanmage.dbr,mi_n_jackalmanmage.dbr,Original,Lupine_Bracelet_0
Aegis of Laconia,Epic,16.0,WeaponArmor_Shield,,TQ,u_n_aegisoflaconia.dbr,records\item\equipmentshield\u_n_aegisoflaconia.dbr,u_n_aegisoflaconia.dbr,Original,Aegis_of_Laconia_0
Coil of Visions,Epic,33.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_n_002.dbr,records\xpack\item\equipmentarmor\armband\um_n_002.dbr,um_n_002.dbr,xpack,Coil_of_Visions_0
The Greg,Legendary,59.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_e_002.dbr,records\xpack\item\equipmentweapons\shield\u_e_002.dbr,u_e_002.dbr,xpack,The_Greg_0
Crown of the Dead,Epic,12.0,ArmorProtective_Head,Necromancer's Habiliment,TQ,usm_n_necromancer'shabiliment.dbr,records\item\equipmenthelm\usm_n_necromancer'shabiliment.dbr,usm_n_necromancer'shabiliment.dbr,Original,Crown_of_the_Dead_0
