dbr,id,isit,isr,isatl,find
item\equipmentshield\mi_n_arachnos.dbr,tagMIWeapon001,false,false,false,"All Arachnos, @act01$"
item\equipmentarmor\mi_n_arachnos.dbr,tagMIArmor050,false,false,false,"All Arachnos, @act01$"
item\equipmentweapon\sword\mi_n_arachnos.dbr,tagMIWeapon016,false,false,false,"All Arachnos, @act01$"
item\equipmenthelm\mi_n_arachnos.dbr,tagMIArmor033,false,false,false,"All Arachnos, @act01$"
item\equipmentarmband\mi_n_arachnos.dbr,tagMIArmor001,false,false,false,"All Arachnos, @act01$"
item\equipmentarmband\mi_n_bandari.dbr,tagMIArmor002,false,false,false,"Bandari, Palace of Chang'an, @act03$"
item\equipmenthelm\mi_n_bandari.dbr,tagMIArmor034,false,false,false,"Bandari, Palace of Chang'an, @act03$"
item\equipmentgreaves\mi_n_bandari.dbr,tagMIArmor022,false,false,false,"Bandari, Palace of Chang'an, @act03$"
item\equipmentarmor\mi_n_bandari.dbr,tagMIArmor051,false,false,false,"Bandari, Palace of Chang'an, @act03$"
item\equipmentarmor\mi_n_boarman.dbr,tagMIArmor052,false,false,false,"All Boarmen, @act01$"
item\equipmentarmband\mi_n_boarman.dbr,tagMIArmor081,false,false,false,"All Boarmen, @act01$"
item\equipmenthelm\mi_n_centaur.dbr,tagMIArmor035,false,false,false,"Elder, Patriarch, @act01$"
item\equipmentshield\mi_n_centaur.dbr,tagMIWeapon002,false,false,false,"Elder, Patriarch, Marauder, Nessus, @act01$"
item\equipmentarmor\mi_n_centaur.dbr,tagMIArmor053,false,false,false,"All Centaurs, @act01$"
item\equipmentweapon\spear\mi_n_centaurtrapper.dbr,tagMIWeapon013,false,false,false,"Trapper; Heroes: Mulgor Flamespear, Sergos Longstride, @act01$"
item\equipmentweapon\club\mi_n_cyclops.dbr,tagMIWeapon010,false,false,false,"Polyphemus, Cyclops' Lair, @act01$"
item\equipmenthelm\mi_n_deserthag.dbr,tagMIArmor079,false,false,false,"All Desert Hags, @act02$"
item\equipmentarmband\mi_n_djinn.dbr,tagMIArmor003,false,false,false,"All Djinns, @act03$"
item\equipmentweapon\axe\mi_n_dragonian.dbr,tagMIWeapon004,false,false,false,"Headhunter, Ravager, @act03$"
item\equipmentarmor\mi_n_dragonian.dbr,tagMIArmor054,false,false,false,"All Dragonians except mages, @act03$"
item\equipmentweapon\bow\mi_n_duneraider.dbr,tagMIWeapon008,false,false,false,"All Pillagers, Iznu, @act02$"
xpack2\item\equipmentweapons\1hranged\mi_n_duneraider.dbr,x2tagMIWeapon025,true,true,false,
item\equipmentarmband\mi_n_duneraider.dbr,tagMIArmor004,false,false,false,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$"
item\equipmentarmor\mi_n_duneraider.dbr,tagMIArmor055,false,false,false,"All Assassins; Heroes: Badru, Najja, Faceless One, @act02$"
item\equipmentgreaves\mi_n_duneraider.dbr,tagMIArmor023,false,false,false,"All Assassins, all Marauders; Heroes: Badru, Najja, Faceless One, @act02$"
item\equipmentarmor\mi_n_duneraiderb.dbr,tagMIArmor080,false,false,false,"All Pillagers, Iznu, @act02$"
item\equipmenthelm\mi_n_goldenskeleton.dbr,tagMIArmor036,false,false,false,"All Gilded Dead, Valley of Kings, @act02$"
item\equipmentgreaves\mi_n_goldenskeleton.dbr,tagMIArmor024,false,false,false,"All Gilded Dead, Valley of Kings, @act02$"
