record,_id,isit,isr,isatl,find,category,class,pack,_Name,Name,Quality,id
records\xpack\item\equipmentarmor\greaves\mi_n_machaemelee.dbr,xtagMIArmor019,True,False,False,"All Machae, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_machaemelee_Greaves_xpack,Proioxis,,Proioxis
records\xpack2\item\equipmentweapons\1hranged\mi_n_machae.dbr,x2tagMIWeapon028,True,True,False,,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_machae_Thrown_xpack2,Demonic Rippers,,Demonic_Rippers
records\xpack\item\equipmentarmor\armband\mi_n_melinoemage.dbr,xtagMIArmor008,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Armbands,ArmorProtective_Forearm,xpack,mi_n_melinoemage_Armbands_xpack,Bloodborn Armbands,,Bloodborn_Armbands
records\xpack\item\equipmentarmor\torso\mi_n_melinoemage.dbr,xtagMIArmor047,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Armor,ArmorProtective_UpperBody,xpack,mi_n_melinoemage_Armor_xpack,Bloodborn Girdle,,Bloodborn_Girdle
records\xpack\item\equipmentarmor\greaves\mi_n_melinoemage.dbr,xtagMIArmor020,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Greaves,ArmorProtective_LowerBody,xpack,mi_n_melinoemage_Greaves_xpack,Bloodborn Leggings,,Bloodborn_Leggings
records\xpack\item\equipmentarmor\helm\mi_n_melinoemage.dbr,xtagMIArmor033,True,False,False,"Blood Acolyte, Blood Adept, Blood Witch; Hero: Endeis, @act04$",Helm,ArmorProtective_Head,xpack,mi_n_melinoemage_Helm_xpack,Bloodborn Visor,,Bloodborn_Visor
records\xpack\item\equipmentweapons\sword\mi_n_melinoe.dbr,xtagMIWeapon014,True,False,False,"Blade Maiden, Blade Dancer; Hero: Anysia, @act04$",Sword,WeaponMelee_Sword,xpack,mi_n_melinoe_Sword_xpack,Khthonion Razor,,Khthonion_Razor
records\xpack\item\equipmentweapons\spear\mi_n_melinoe.dbr,xtagMIWeapon010,True,False,False,"Spear Runner, Elite Spear Runner; Hero: Hekaline, @act04$",Spear,WeaponHunting_Spear,xpack,mi_n_melinoe_Spear_xpack,Khthonion Spike,,Khthonion_Spike
records\xpack\item\equipmentarmor\helm\mi_n_troglodytemelee.dbr,xtagMIArmor034,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Helm,ArmorProtective_Head,xpack,mi_n_troglodytemelee_Helm_xpack,Atouk,,Atouk
records\xpack\item\equipmentweapons\club\mi_n_troglodyte.dbr,xtagMIWeapon007,True,False,False,"Berserker, Savage, Stonegrinder, Jailor; Heroes: Thane Kaorak, Warrag Hammerfist, @act04$",Mace,WeaponMelee_Mace,xpack,mi_n_troglodyte_Mace_xpack,Folg,,Folg
