,record,category,class,pack,name,altName,id
0,records\item\equipmentshield\mi_n_arachnos.dbr,Shield,WeaponArmor_Shield,Original,mi_n_arachnos,,Shield_Arachnos
1,records\item\equipmentarmor\mi_n_arachnos.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_arachnos,,Armor_Arachnos
2,records\item\equipmentweapon\sword\mi_n_arachnos.dbr,Sword,WeaponMelee_Sword,Original,mi_n_arachnos,,Sword_Arachnos
3,records\item\equipmenthelm\mi_n_arachnos.dbr,Helm,ArmorProtective_Head,Original,mi_n_arachnos,,Helm_Arachnos
4,records\item\equipmentarmband\mi_n_arachnos.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_arachnos,,Armbands_Arachnos
5,records\item\equipmentarmband\mi_n_bandari.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_bandari,,Armbands_Bandari
6,records\item\equipmenthelm\mi_n_bandari.dbr,Helm,ArmorProtective_Head,Original,mi_n_bandari,,Helm_Bandari
7,records\item\equipmentgreaves\mi_n_bandari.dbr,Greaves,ArmorProtective_LowerBody,Original,mi_n_bandari,,Greaves_Bandari
8,records\item\equipmentarmor\mi_n_bandari.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_bandari,,Armor_Bandari
9,records\item\equipmentarmor\mi_n_boarman.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_boarman,,Armor_Boarman
10,records\item\equipmentarmband\mi_n_boarman.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_boarman,,Armbands_Boarman
11,records\item\equipmenthelm\mi_n_centaur.dbr,Helm,ArmorProtective_Head,Original,mi_n_centaur,,Helm_Centaur
12,records\item\equipmentshield\mi_n_centaur.dbr,Shield,WeaponArmor_Shield,Original,mi_n_centaur,,Shield_Centaur
13,records\item\equipmentarmor\mi_n_centaur.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_centaur,,Armor_Centaur
14,records\item\equipmentweapon\spear\mi_n_centaurtrapper.dbr,Spear,WeaponHunting_Spear,Original,mi_n_centaurtrapper,,Spear_Centaurtrapper
15,records\item\equipmentweapon\club\mi_n_cyclops.dbr,Mace,WeaponMelee_Mace,Original,mi_n_cyclops,,Mace_Cyclops
16,records\item\equipmenthelm\mi_n_deserthag.dbr,Helm,ArmorProtective_Head,Original,mi_n_deserthag,,Helm_Deserthag
17,records\item\equipmentarmband\mi_n_djinn.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_djinn,,Armbands_Djinn
18,records\item\equipmentweapon\axe\mi_n_dragonian.dbr,Axe,WeaponMelee_Axe,Original,mi_n_dragonian,,Axe_Dragonian
19,records\item\equipmentarmor\mi_n_dragonian.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_dragonian,,Armor_Dragonian
20,records\item\equipmentweapon\bow\mi_n_duneraider.dbr,Bow,WeaponHunting_Bow,Original,mi_n_duneraider,,Bow_Duneraider
21,records\xpack2\item\equipmentweapons\1hranged\mi_n_duneraider.dbr,Thrown,WeaponHunting_RangedOneHand,xpack2,mi_n_duneraider,,Thrown_Duneraider
22,records\item\equipmentarmband\mi_n_duneraider.dbr,Armbands,ArmorProtective_Forearm,Original,mi_n_duneraider,,Armbands_Duneraider
23,records\item\equipmentarmor\mi_n_duneraider.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_duneraider,,Armor_Duneraider
24,records\item\equipmentgreaves\mi_n_duneraider.dbr,Greaves,ArmorProtective_LowerBody,Original,mi_n_duneraider,,Greaves_Duneraider
25,records\item\equipmentarmor\mi_n_duneraiderb.dbr,Armor,ArmorProtective_UpperBody,Original,mi_n_duneraiderb,,Armor_Duneraiderb
26,records\item\equipmenthelm\mi_n_goldenskeleton.dbr,Helm,ArmorProtective_Head,Original,mi_n_goldenskeleton,,Helm_Goldenskeleton
27,records\item\equipmentgreaves\mi_n_goldenskeleton.dbr,Greaves,ArmorProtective_LowerBody,Original,mi_n_goldenskeleton,,Greaves_Goldenskeleton
