_Name,Name,Quality
u_l_set01_Armor_xpack3,Philip's Unity,L
u_l_set01_Mace_xpack3,Philip's Swift Justice,L
u_l_02_Bow_xpack3,Philip's Reach,L
um_l_set02_Armbands_xpack3,Grapplers of the Aquanaut,L
um_l_set02_Greaves_xpack3,Boots of the Aquanaut,L
um_l_set02_Helm_xpack3,Helm of the Aquanaut,L
um_l_set02_Armor_xpack3,Sacred Hull of the Aquanaut,L
u_l_set04_Armbands_xpack3,Cretaceous Clips,L
u_l_set04_Greaves_xpack3,Creataceous Stumps,L
u_l_set04_Helm_xpack3,Creataceous Cap,L
u_l_set04_Armor_xpack3,Creataceous Spikes,L
u_e_set03_Armbands_xpack3,Bandit King's Grip,L
secreto_club_Mace_Extra,Arcane Purifier,E
secreto_greaves_Armbands_Extra,Prometheus Greaves,E
secreto_helm_Helm_Extra,Titanwatch Helm,E
u_e_set03_Armbands_xpack3,Bandit King's Grip,L
um_e_set05_Armbands_xpack3,Hadopelagian Gloves,L
um_e_set05_Greaves_xpack3,Hadopelagian Trousers,L
u_e_set03_Amulet_xpack3,Bandit King's Treasure,L
secreto_torso_Armor_Extra,Anti Magic Robes,E
um_e_set05_Helm_xpack3,Hadopelagian Plume,L
um_e_set05_Armor_xpack3,Hadopelagian Coat,L
u_e_set03_Greaves_xpack3,Bandit King's Tracks,L
u_e_set03_Armor_xpack3,Bandit King's Hideout,L
u_e_set06_Greaves_xpack3,Solon's Greaves,L
u_e_set06_Armbands_xpack3,Solon's Bracers,L
um_l_set07_Helm_xpack3,Agenor's Frill,L
u_e_set06_Helm_xpack3,Solon's Command,L
u_e_set05_Staff_xpack3,Hadopelagian Relic,L
um_l_set07_Armbands_xpack3,Agenor's Bangles,L
um_l_set07_Greaves_xpack3,Agenor's Anklets,L
u_e_set06_Armor_xpack3,Solon's Breastplate,L
z_france01_Axe_xpack,Francisca,N
z_france01_Shield_xpack,Marcomer's Shield,N
u_n_set10_Helm_xpack3,Turdulic Casque,E
u_n_set12_Shield_xpack3,The Pallium,E
u_n_set12_Mace_xpack3,The Radula,E
z_germany01_Mace_xpack,Irminsul,N
z_germany01_Shield_xpack,Shield of Irminius,N
u_n_set08_Armbands_xpack3,Reptilian Claws,E
um_n_set09_Ring_xpack3,Ba'als Signet,E
um_n_set09_Armbands_xpack3,Ba'als Hand,E
um_l_set07_Armor_xpack3,Agenor's Runeplate,L
u_n_set10_Greaves_xpack3,Turdulic Greaves,E
u_n_set10_Armor_xpack3,Turdulic Runeplate,E
u_n_set08_Greaves_xpack3,Reptilian Legs,E
u_n_set10_Armbands_xpack3,Turdulic Vambrace,E
z_asia01_Greaves_xpack,Jaka tabi,N
z_asia01_Helm_xpack,Sanjaku Tenugui,N
u_l_set01_Helm_xpack3,Philip's Leadership,L
u_l_set01_Armbands_xpack3,Philip's Reforms,L
z_asia01b_Sword_xpack,Katana,N
z_asia01a_Sword_xpack,Sai,N
u_l_set01_Greaves_xpack3,Philip's March,L
z_asia01_Armor_xpack,Uwagi,N
z_us01_Armor_xpack,Cuirass of the Great Merchant,N
z_us01_Mace_xpack,Tiberius' Wrath,N
z_us01_Armbands_xpack,Brace of the Great Merchant,N
z_asia01_Armbands_xpack,Kurokote,N
