_Name,Name,Quality
u_e_02_Greaves_xpack3,Alboran Sandals,L
u_l_01_Thrown_xpack3,Daggertooth,L
u_l_02_Thrown_xpack3,Golden Kris,L
u_l_01_Greaves_xpack3,Calves of Enceladus,L
u_l_03_Thrown_xpack3,Gills of Tiamat,L
u_l_02_Greaves_xpack3,The Dark Depths,L
u_l_03_Greaves_xpack3,Eshmun's Blessing,L
um_e_01_Greaves_xpack3,Wisdom of Metis,L
u_l_02_Shield_xpack3,The Sleeper,L
u_e_01_Spear_xpack3,The Sea Spider,L
u_l_01_Spear_xpack3,The Onyx Torch,L
um_l_01_Greaves_xpack3,Philyra's Gift,L
u_e_01_Spear_xpack3,The Sea Spider,L
u_e_02_Helm_xpack3,Cilix' Spiked Visor,L
u_l_03_Spear_xpack3,Hippolyta's Bladestaff,L
u_e_01_Helm_xpack3,Hyas' Last Trophy,L
u_e_01_Staff_xpack3,Locus of Crantor,L
u_l_02_Spear_xpack3,Amber Herald,L
u_e_02_Spear_xpack3,Gill Raker,L
u_l_01_Staff_xpack3,Wrath of Thalassa,L
u_l_02_Helm_xpack3,Cap of Thamyris,L
u_l_01_Helm_xpack3,Battle Crown of Danaus,L
u_e_02_Spear_xpack3,Gill Raker,L
u_l_02_Spear_xpack3,Amber Herald,L
u_l_01_Spear_xpack3,The Onyx Torch,L
u_e_01_Staff_xpack3,Locus of Crantor,L
u_l_03_Spear_xpack3,Hippolyta's Bladestaff,L
u_l_02_Staff_xpack3,Goroggos,L
um_e_01_Helm_xpack3,Mask of Achiroe,L
um_l_01_Helm_xpack3,Hood of Illusions,L
u_l_03_Staff_xpack3,Sign of the Telkines,L
u_e_02_Shield_xpack3,Discordant Rubric,L
u_e_01_Thrown_xpack3,The Red Fangs,L
u_e_01_Sword_xpack3,CuttleBone Xiphos,L
u_l_03_Sword_xpack3,Dragonbone Blade,L
u_l_02_Sword_xpack3,Sword of Sargon,L
u_e_02_Sword_xpack3,Dagger of Dawn,L
u_l_01_Sword_xpack3,Tachylite Kopis,L
u_l_02_Staff_xpack3,Goroggos,L
u_e_01_Sword_xpack3,CuttleBone Xiphos,L
um_l_02_Helm_xpack3,Tiara of the Emerald Seas,L
u_l_01_Staff_xpack3,Wrath of Thalassa,L
u_e_01_Shield_xpack3,Shark Fin,L
u_l_01_Sword_xpack3,Tachylite Kopis,L
u_l_03_Staff_xpack3,Sign of the Telkines,L
u_e_02_Sword_xpack3,Dagger of Dawn,L
u_l_03_Thrown_xpack3,Gills of Tiamat,L
u_l_03_Sword_xpack3,Dragonbone Blade,L
u_e_01_Greaves_xpack3,Hippocamp Riding Boots,L
u_l_02_Mace_xpack3,Septer of Atalantis,L
u_l_01_Mace_xpack3,Hydraulic Hammer,L
u_e_02_Thrown_xpack3,Freyella,L
u_l_02_Thrown_xpack3,Golden Kris,L
u_l_01_Thrown_xpack3,Daggertooth,L
u_l_02_Sword_xpack3,Sword of Sargon,L
u_l_01_Shield_xpack3,Shield of Xaghra,L
